PASS: LLM API key not present in ai-backend logs
ai-backend-1  | INFO:     Started server process [1]
ai-backend-1  | INFO:     Waiting for application startup.
ai-backend-1  | 2026-09-19 21:13:11,644 DEBUG [redis.asyncio.connection] Failed to enable maintenance notifications: unknown subcommand 'MAINT_NOTIFICATIONS'. Try CLIENT HELP.
ai-backend-1  | 2026-09-19 21:13:11,645 INFO [app.infrastructure.config.checks] startup check OK: PostgreSQL (16.15)
ai-backend-1  | 2026-09-19 21:13:11,645 INFO [app.infrastructure.config.checks] startup check OK: Redis (7.4.11)
ai-backend-1  | INFO:     Application startup complete.
ai-backend-1  | INFO:     Uvicorn running on http://0.0.0.0:8000 (Press CTRL+C to quit)
ai-backend-1  | 2026-09-19 21:13:32,878 DEBUG [httpcore.connection] connect_tcp.started host='saleor-api' port=8000 local_address=None timeout=5.0 socket_options=None
ai-backend-1  | 2026-09-19 21:13:32,880 DEBUG [httpcore.connection] connect_tcp.complete return_value=<httpcore._backends.anyio.AnyIOStream object at 0x793484e98590>
ai-backend-1  | 2026-09-19 21:13:32,880 DEBUG [httpcore.http11] send_request_headers.started request=<Request [b'POST']>
ai-backend-1  | 2026-09-19 21:13:32,880 DEBUG [httpcore.http11] send_request_headers.complete
ai-backend-1  | 2026-09-19 21:13:32,880 DEBUG [httpcore.http11] send_request_body.started request=<Request [b'POST']>
ai-backend-1  | 2026-09-19 21:13:32,880 DEBUG [httpcore.http11] send_request_body.complete
ai-backend-1  | 2026-09-19 21:13:32,880 DEBUG [httpcore.http11] receive_response_headers.started request=<Request [b'POST']>
